fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
27/10/2022;64167;LOCAL;SMG-875;Cajamarca, Perú;Propia;3894,00;3894,00;100%;1;0;0,540;10:30:00;S/ 1.518,66;12:00:00;1:30:00;66557;66573;16;29,62;;;;;;;;;
27/10/2022;64166;FUNDO;SMG-875;Cajamarca, Perú;Propia;3225,00;3225,00;100%;1;0;5,707;13:07:00;S/ 1.357,49;18:34:00;5:27:00;66573;66742;169;29,62;;;;;;;;;
27/10/2022;64161;LOCAL;BRL-549;Chiclayo, Perú;Propia;2855,30;2855,30;100%;32;0;2,10;9:50:00;S/ 1.198,58;14:45:00;4:55:00;174470;174512;42;19,97;;;;;;;;;
27/10/2022;64204;LOCAL;BRL-549;Chiclayo, Perú;Propia;1935,00;1910,00;99%;15;1;1,90;16:12:00;S/ 787,62;18:54:00;2:42:00;174512;174550;38;19,97;;;;;;;;;
27/10/2022;64163;LOCAL;DIP-028;Chiclayo, Perú;Propia;1347,15;1347,15;100%;15;0;1,181;9:40:00;S/ 604,72;13:20:00;3:40:00;96056;96077;21;17,78;;;;;;;;;
27/10/2022;64191;LOCAL;DIP-028;Chiclayo, Perú;Propia;1645,40;1629,40;99%;9;1;1,238;15:20:00;S/ 625,41;18:23:00;3:03:00;96077;96099;22;17,78;;;;;;;;;
27/10/2022;64160;LOCAL;PMN-125;Trujillo,  Perú;Propia;834,70;834,70;100%;9;0;2,121;9:25:00;S/ 223,50;12:01:00;2:36:00;72899;72949;50;23,57;;;;;;;;;
27/10/2022;64202;LOCAL;PMN-125;Trujillo,  Perú;Propia;2935,00;2935,00;100%;5;0;2,121;15:46:00;S/ 1.436,21;18:30:00;2:44:00;72949;72999;50;23,57;;;;;;;;;
27/10/2022;009-041054/009-041063;TOTTUS;AKM-892;Piura, Perú;Propia;0,01;0,01;100%;2;0;3,98;8:38:00;S/ 0,00;19:23:00;10:45:00;140688;140771;83;20,88;;;;;;;;;
27/10/2022;009-040712;TOTTUS;M14-016;Chiclayo, Perú;Propia;0,01;0,01;100%;1;0;2,497;9:45:00;S/ 0,00;18:34:00;8:49:00;186950;187045;95;38,05;;;;;;;;;
